OTU                                                             BALI4462       BALI4606       BALI4673       BALI4979       BALI5245       BALI5476       BALI5483
BALI4606_0_ID2220                                                      0              2              0              0              0              0              0
BALI4606_0_ID2221                                                      0              2              0              0              0              0              0
BALI5245_0_ID3448                                                      0              0              0              0              2              0              0
BALI4979_0_ID1991                                                      0              0              0              2              0              0              0
BALI4606_0_ID818                                                       0              2              0              0              0              0              0
BALI4979_0_ID1999                                                      0              0              0              2              0              0              0
BALI4606_0_ID3198                                                      0              2              0              0              0              0              0
BALI4606_0_ID3197                                                      0              2              0              0              0              0              0
BALI4462_0_ID1464                                                      2              0              0              0              0              0              0
BALI4606_0_ID3195                                                      0              2              0              0              0              0              0
BALI4606_0_ID3661                                                      0              2              0              0              0              0              0
BALI4606_0_ID3192                                                      0              2              0              0              0              0              0
BALI4462_0_ID1463                                                      2              0              0              0              0              0              0
BALI4606_0_ID3662                                                      0              2              0              0              0              0              0
BALI4606_0_ID3587                                                      0              2              0              0              0              0              0
BALI4606_0_ID3289                                                      0              2              0              0              0              0              0
BALI4462_0_ID2654                                                      2              0              0              0              0              0              0
BALI4462_0_ID716                                                       2              0              0              0              0              0              0
BALI4462_0_ID714                                                       2              0              0              0              0              0              0
BALI4462_0_ID1083                                                      2              0              0              0              0              0              0
BALI4606_0_ID3280                                                      0              2              0              0              0              0              0
BALI4673_0_ID1088                                                      0              0              2              0              0              0              0
BALI4673_0_ID1087                                                      0              0              2              0              0              0              0
BALI4673_0_ID1080                                                      0              0              2              0              0              0              0
BALI4606_0_ID3261                                                      0              2              0              0              0              0              0
BALI4606_0_ID3260                                                      0              2              0              0              0              0              0
BALI4606_0_ID3265                                                      0              2              0              0              0              0              0
BALI4462_0_ID1066                                                      2              0              0              0              0              0              0
BALI5476_0_ID42                                                        0              0              0              0              0              2              0
BALI5245_0_ID911                                                       0              0              0              0              2              0              0
BALI5476_0_ID40                                                        0              0              0              0              0              2              0
BALI5245_0_ID3241                                                      0              0              0              0              2              0              0
BALI5476_0_ID45                                                        0              0              0              0              0              2              0
BALI4606_0_ID3063                                                      0              2              0              0              0              0              0
BALI4462_0_ID1262                                                      2              0              0              0              0              0              0
BALI4673_0_ID771                                                       0              0              2              0              0              0              0
BALI4606_0_ID3067                                                      0              2              0              0              0              0              0
BALI4979_0_ID3025                                                      0              0              0              2              0              0              0
BALI4462_0_ID1265                                                      2              0              0              0              0              0              0
BALI4606_0_ID735                                                       0              2              0              0              0              0              0
BALI4979_0_ID3029                                                      0              0              0              2              0              0              0
BALI5476_0_ID409                                                       0              0              0              0              0              2              0
Porifera:::::                                                          0              2              0              0              0              0              0
BALI4606_0_ID732                                                       0              2              0              0              0              0              0
BALI4673_0_ID1401                                                      0              0              2              0              0              0              0
BALI4606_0_ID1925                                                      0              2              0              0              0              0              0
BALI4673_0_ID1154                                                      0              0              2              0              0              0              0
BALI4606_0_ID931                                                       0              2              0              0              0              0              0
BALI4673_0_ID1159                                                      0              0              2              0              0              0              0
BALI4673_0_ID1409                                                      0              0              2              0              0              0              0
BALI5476_0_ID29                                                        0              0              0              0              0              2              0
BALI4673_0_ID1350                                                      0              0              2              0              0              0              0
BALI4462_0_ID1017                                                      2              0              0              0              0              0              0
BALI4462_0_ID1546                                                      2              0              0              0              0              0              0
BALI4606_0_ID3420                                                      0              2              0              0              0              0              0
BALI5483_0_ID854                                                       0              0              0              0              0              0              2
BALI4979_0_ID3116                                                      0              0              0              2              0              0              0
BALI4979_0_ID3441                                                      0              0              0              2              0              0              0
BALI4979_0_ID3446                                                      0              0              0              2              0              0              0
BALI4979_0_ID2469                                                      0              0              0              2              0              0              0
BALI4979_0_ID3445                                                      0              0              0              2              0              0              0
BALI4979_0_ID3448                                                      0              0              0              2              0              0              0
Porifera:::::                                                          0              2              0              0              0              0              0
BALI4979_0_ID3118                                                      0              0              0              2              0              0              0
BALI5483_0_ID176                                                       0              0              0              0              0              0              2
BALI5483_0_ID378                                                       0              0              0              0              0              0              2
BALI5483_0_ID375                                                       0              0              0              0              0              0              2
BALI5483_0_ID376                                                       0              0              0              0              0              0              2
BALI4606_0_ID842                                                       0              2              0              0              0              0              0
BALI5483_0_ID2942                                                      0              0              0              0              0              0              2
BALI5483_0_ID331                                                       0              0              0              0              0              0              2
BALI5245_0_ID1636                                                      0              0              0              0              2              0              0
BALI5483_0_ID571                                                       0              0              0              0              0              0              2
BALI4979_0_ID80                                                        0              0              0             36              1              0              0
BALI4979_0_ID1425                                                      0              0              0              2              0              0              0
BALI4673_0_ID106                                                       0              0              2              0              0              0              0
BALI5245_0_ID736                                                       0              0              0              0              2              0              0
BALI5483_0_ID578                                                       0              0              0              0              0              0              2
BALI5476_0_ID425                                                       0              0              0              0              0              2              0
BALI5476_0_ID424                                                       0              0              0              0              0              2              0
